kategoria,podkategoria
"Codzienne wydatki","Alkohol, papierosy"
"Codzienne wydatki","Jedzenie poza domem"
"Codzienne wydatki","Kosmetyki i perfumy"
"Codzienne wydatki","Spożywcze i chemia gospodarcza"
"Codzienne wydatki","Zwierzęta"
"Codzienne wydatki","Codzienne wydatki - pozostałe"
"Dom i rachunki","Czynsz, wynajem"
"Dom i rachunki","Gaz"
"Dom i rachunki","Meble i dekoracja wnętrz"
"Dom i rachunki","Ogród"
"Dom i rachunki","Ogrzewanie"
"Dom i rachunki","Prąd"
"Dom i rachunki","Remont i budowa"
"Dom i rachunki","RTV, AGD, elektronika"
"Dom i rachunki","Śmieci"
"Dom i rachunki","Telefon, internet, TV"
"Dom i rachunki","Usługi domowe"
"Dom i rachunki","Woda, kanalizacja"
"Dom i rachunki","Dom i rachunki - pozostałe"
"Dzieci","Edukacja"
"Dzieci","Kieszonkowe"
"Dzieci","Odzież i obuwie"
"Dzieci","Opieka"
"Dzieci","Zabawki"
"Dzieci","Zajęcia dodatkowe"
"Dzieci","Dzieci - pozostałe"
"Finanse i ubezpieczenia","Opłaty i prowizje"
"Finanse i ubezpieczenia","Podatki"
"Finanse i ubezpieczenia","Pożyczki, kredyty, odsetki"
"Finanse i ubezpieczenia","Ubezpieczenia"
"Finanse i ubezpieczenia","Finanse i ubezpieczenia - pozostałe"
"Firmowe","Przelew na rachunek firmowy"
"Firmowe","Zakupy firmowe"
"Firmowe","Firmowe - pozostałe"
"Inwestycje","Akcje, fundusze inwestycyjne"
"Inwestycje","Fundusz emerytalny"
"Inwestycje","Kolekcjonerstwo"
"Inwestycje","Zakup nieruchomości"
"Inwestycje","Inwestycje - pozostałe"
"Okazjonalne wydatki","Biżuteria, zegarki"
"Okazjonalne wydatki","Datki charytatywne"
"Okazjonalne wydatki","Odzież i obuwie"
"Okazjonalne wydatki","Prezenty"
"Okazjonalne wydatki","Zakupy w internecie"
"Okazjonalne wydatki","Okazjonalne wydatki - pozostałe"
"Rozrywka i edukacja","Edukacja"
"Rozrywka i edukacja","Kino, teatr, muzeum"
"Rozrywka i edukacja","Książki, muzyka, gry i filmy"
"Rozrywka i edukacja","Puby i kluby"
"Rozrywka i edukacja","Sport i hobby"
"Rozrywka i edukacja","Rozrywka i edukacja - pozostałe"
"Samochód i transport","Bilety i karty miejskie"
"Samochód i transport","Bilety kolejowe"
"Samochód i transport","Mandaty"
"Samochód i transport","Paliwo"
"Samochód i transport","Parkingi i opłaty"
"Samochód i transport","Serwis i naprawy"
"Samochód i transport","Taksówki"
"Samochód i transport","Zakup samochodu"
"Samochód i transport","Samochód i transport - pozostałe"
"Wakacje i podróże","Bilety lotnicze"
"Wakacje i podróże","Hotele, noclegi"
"Wakacje i podróże","Wycieczki, wczasy"
"Wakacje i podróże","Wynajem samochodu"
"Wakacje i podróże","Wakacje i podróże - pozostałe"
"Wypłata gotówki","Wypłata w oddziale"
"Wypłata gotówki","Wypłata w bankomacie"
"Wypłata gotówki","Wypłata gotówki - pozostałe"
"Zdrowie i uroda","Lekarstwa"
"Zdrowie i uroda","Sprzęt medyczny, okulary"
"Zdrowie i uroda","Usługi kosmetyczne i fryzjer"
"Zdrowie i uroda","Wizyty lekarskie"
"Zdrowie i uroda","Zdrowie i uroda - pozostałe"
"Pozostałe wydatki","Nierozpoznany wydatek"
"Pozostałe wydatki","Pozostałe wydatki"
"Pominięte transakcje","Lokaty"
"Pominięte transakcje","Przelew na rachunek własny"
"Pominięte transakcje","Spłata karty kredytowej"
"Pominięte transakcje","Wymiana walut"
"Pominięte transakcje","Nieistotne"